ids,capacity,active,draft
6859,20,TRUE,2022
6828,20,TRUE,2022
6948,20,TRUE,2022
7002,20,TRUE,2022
6872,20,TRUE,2022
6853,20,TRUE,2022
6829,20,TRUE,2022
6804,20,TRUE,2022
6911,20,TRUE,2022
6955,20,TRUE,2022
6960,20,TRUE,2022
6975,20,TRUE,2022
7020,20,TRUE,2022
6966,20,TRUE,2022
6821,20,TRUE,2022
6796,20,TRUE,2022
6925,20,TRUE,2022
6906,20,TRUE,2022
6816,20,TRUE,2022
6836,20,TRUE,2022
6917,20,TRUE,2022
6923,20,TRUE,2022
6029,21,TRUE,2020
5332,21,TRUE,2020
6160,21,TRUE,2021
6181,21,TRUE,2021
6135,21,TRUE,2021
7081,22,TRUE,2020
6196,22,TRUE,2020
6146,22,TRUE,2020
6247,22,TRUE,2020
5998,22,TRUE,2020
7239,22,TRUE,2020
5378,22,TRUE,2020
6209,22,TRUE,2020
6254,22,TRUE,2021
6086,22,TRUE,2021
6281,22,TRUE,2021
6090,22,TRUE,2021
6098,22,TRUE,2021
6165,22,TRUE,2021
6139,22,TRUE,2021
6113,22,TRUE,2021
6082,22,TRUE,2021
6268,22,TRUE,2021
6283,22,TRUE,2021
6062,22,TRUE,2021
6248,22,TRUE,2021
6080,22,TRUE,2021
6041,22,TRUE,2021
6288,22,TRUE,2021
6187,22,TRUE,2021
6206,22,TRUE,2021
6256,22,TRUE,2021
6116,22,TRUE,2021
6032,22,TRUE,2021
7012,22,TRUE,2021
6191,22,TRUE,2021
6073,22,TRUE,2021
6825,22,TRUE,2022
6781,22,TRUE,2022
5437,23,TRUE,2020
6538,23,TRUE,2020
5482,23,TRUE,2020
6163,23,TRUE,2020
5407,23,TRUE,2020
6755,23,TRUE,2021
6124,23,TRUE,2021
6107,23,TRUE,2021
6060,23,TRUE,2021
6785,23,TRUE,2022
7052,24,TRUE,2020
7037,24,TRUE,2020
7110,24,TRUE,2020
7074,24,TRUE,2020
7042,24,TRUE,2020
7085,24,TRUE,2020
7084,24,TRUE,2020
7073,24,TRUE,2020
7092,24,TRUE,2020
7219,24,TRUE,2020
7058,24,TRUE,2020
6737,24,TRUE,2020
7055,24,TRUE,2020
7077,24,TRUE,2020
7119,24,TRUE,2020
7104,24,TRUE,2020
5340,24,TRUE,2020
7080,24,TRUE,2020
5334,24,TRUE,2020
7040,24,TRUE,2020
7034,24,TRUE,2020
7078,24,TRUE,2020
6276,24,TRUE,2020
6230,24,TRUE,2020
5453,24,TRUE,2020
5468,24,TRUE,2020
6851,24,TRUE,2020
7114,24,TRUE,2020
7082,24,TRUE,2020
7064,24,TRUE,2020
6898,24,TRUE,2020
7031,24,TRUE,2020
7061,24,TRUE,2020
7100,24,TRUE,2020
7063,24,TRUE,2020
