kgName,kinderGardenId,kgExternal,kgMapUrl,selectedRegionId,selectedRegionRegionName
ДГ №29 Слънце (с яслени групи),134,29,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.670947,23.359964&spn=0.00187,0.003626&t=h&z=18&iwloc=00044da4155f74aea1df1",8,Изгрев
ДГ №30 Радецки (с яслени групи),116,30,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.661815,23.345314&spn=0.00187,0.003626&t=h&z=18&iwloc=00044da43ce366e0ec4c2",8,Изгрев
ДГ №34 Брезичка (с яслени групи),12,34,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.663212,23.35092&spn=0.00187,0.003626&t=h&z=18&iwloc=00044da4c7c2a4ad33c4f",8,Изгрев
СДЯ №36 Слънчево зайче,251,36,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.670951,23.36115&spn=0.003731,0.006416",8,Изгрев
ДГ №49 Радост (с яслени групи),117,49,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.665393,23.35187&spn=0.00187,0.003626&t=h&z=18&iwloc=00044da6ddd4bc43b81df",8,Изгрев
ДГ №133 Зорница,64,133,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.67019,23.360281&spn=0.00187,0.003626&t=h&z=18&iwloc=00044dd0ec08fbf6890e8",8,Изгрев
ДГ №165 Латинка,79,165,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.673759,23.353881&spn=0.001869,0.003626&t=h&z=18&iwloc=00044de1b645ab8275585",8,Изгрев
ДГ №19 Света София,125,19,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.68309,23.331796&spn=0.001869,0.003626&t=h&z=18&iwloc=00044d93ff521ac3882b2",9,Лозенец
СДЯ №23 Ралица,252,23,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.684092,23.324339&spn=0.007461,0.012832",9,Лозенец
СДЯ №45 Майор Франк Томпсън,253,45,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.67062,23.325284&spn=0.007463,0.012832",9,Лозенец
